Tipo,Denominação,"Código Postal",Descritivo
BEC,"MILEU (GUARDA)",6301-901,GUARDA
PC,GONÇALO,6301-903,GONÇALO
PC,TRINTA,6301-904,TRINTA
LOJA,"CTT S MIGUEL (GUARDA)",6301-908,GUARDA
LOJA,"CTT GUARDA",6301-909,GUARDA
LOJA,"CTT GUARDA",6301-951,GUARDA
LOJA,"CTT GUARDA",6301-952,GUARDA
LOJA,"CTT GUARDA",6301-956,GUARDA
PC,SOITO,6321-907,"SOUTO SBG"
LOJA,"CTT SABUGAL",6321-909,SABUGAL
LOJA,"CTT ALMEIDA",6351-909,ALMEIDA
LOJA,"CTT VILAR FORMOSO",6356-909,"VILAR FORMOSO"
PC,"LAJEOSA DO MONDEGO",6361-907,"LAJEOSA DO MONDEGO"
LOJA,"CTT CELORICO DA BEIRA",6361-909,"CELORICO DA BEIRA"
LOJA,"CTT FORNOS DE ALGODRES",6371-909,"FORNOS DE ALGODRES"
PC,PÍNZIO,6401-906,PÍNZIO
PC,FREIXEDAS,6401-907,FREIXEDAS
PC,"ALVERCA DA BEIRA",6401-908,"ALVERCA DA BEIRA"
LOJA,"CTT PINHEL",6401-909,PINHEL
PC,"VILA FRANCA DAS NAVES",6421-801,"VILA FRANCA DAS NAVES"
PC,FRECHES,6421-907,FRECHES
LOJA,"CTT TRANCOSO",6421-909,TRANCOSO
LOJA,"CTT MEDA",6431-909,MÊDA
PC,VERMIOSA,6441-908,VERMIOSA
LOJA,"CTT FIGUEIRA DE CASTELO RODRIGO",6441-909,"FIGUEIRA CASTELO RODRIGO"
LOJA,"CTT ÉVORA",7001-901,ÉVORA
LOJA,"CTT ROSSIO (ÉVORA)",7006-551,ÉVORA
LOJA,"CTT ROSSIO (ÉVORA)",7006-552,ÉVORA
LOJA,"CTT ROSSIO (ÉVORA)",7006-553,ÉVORA
LOJA,"CTT ROSSIO (ÉVORA)",7006-554,ÉVORA
LOJA,"CTT ROSSIO (ÉVORA)",7006-555,ÉVORA
LOJA,"CTT ROSSIO (ÉVORA)",7006-556,ÉVORA
LOJA,"CTT ROSSIO (ÉVORA)",7006-801,ÉVORA
LOJA,"CTT ROSSIO (ÉVORA)",7006-802,ÉVORA
LOJA,"CTT ROSSIO (ÉVORA)",7006-803,ÉVORA
LOJA,"CTT ROSSIO (ÉVORA)",7006-804,ÉVORA
LOJA,"CTT ROSSIO (ÉVORA)",7006-805,ÉVORA
LOJA,"CTT ROSSIO (ÉVORA)",7006-806,ÉVORA
PC,AZARUJA,7006-901,AZARUJA
LOJA,"CTT ARRAIOLOS",7041-909,ARRAIOLOS
LOJA,"CTT MONTEMOR-O-NOVO",7051-909,MONTEMOR-O-NOVO
LOJA,"CTT VENDAS NOVAS",7081-909,"VENDAS NOVAS"
PC,ALCÁÇOVAS,7091-908,ALCÁÇOVAS
